"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 23 04:11:15 UTC 2023","Fri Jun 23 04:11:21 UTC 2023","5225","","16. Nucleus Wealth Wordpress Site","","","","2. Visit Investment Options",""
"passed","Fri Jun 23 05:14:01 UTC 2023","Fri Jun 23 05:15:04 UTC 2023","62971","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","7. Complete Applicants",""
"passed","Fri Jun 23 04:41:54 UTC 2023","Fri Jun 23 04:41:55 UTC 2023","351","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","8. Navigate to Insurance Quote",""
"passed","Fri Jun 23 05:22:07 UTC 2023","Fri Jun 23 05:22:07 UTC 2023","183","","20. Admin Portal - Check details","","","","3. Check panels existence",""
"passed","Fri Jun 23 05:22:08 UTC 2023","Fri Jun 23 05:22:18 UTC 2023","10145","","20. Admin Portal - Check details","","","","4. Direct to Account’s client portal",""
"passed","Fri Jun 23 05:16:40 UTC 2023","Fri Jun 23 05:16:44 UTC 2023","4238","","19. Look Up Investment Account","","","","4. Expand Account ID 445",""
"passed","Fri Jun 23 05:21:44 UTC 2023","Fri Jun 23 05:22:05 UTC 2023","20129","","12. Client Portal - Forms","","","","1. Direct user to “Forms” page",""
"passed","Fri Jun 23 04:15:26 UTC 2023","Fri Jun 23 04:15:46 UTC 2023","19744","","10. Client Portal - Account Dashboard","","","","1. Direct user to “Your Accounts” page",""
"passed","Fri Jun 23 04:39:20 UTC 2023","Fri Jun 23 04:39:43 UTC 2023","22919","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Fri Jun 23 05:19:01 UTC 2023","Fri Jun 23 05:19:43 UTC 2023","41535","","8. Sign Up new user","","","","1. Create a new user",""
"passed","Fri Jun 23 04:15:58 UTC 2023","Fri Jun 23 04:16:25 UTC 2023","26750","","10. Client Portal - Account Dashboard","","","","4. Check Tactical Panel",""
"passed","Fri Jun 23 04:11:21 UTC 2023","Fri Jun 23 04:11:24 UTC 2023","3766","","16. Nucleus Wealth Wordpress Site","","","","3. Visit Ethical Investing",""
"passed","Fri Jun 23 05:11:45 UTC 2023","Fri Jun 23 05:12:07 UTC 2023","21975","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Fri Jun 23 05:22:01 UTC 2023","Fri Jun 23 05:22:07 UTC 2023","5990","","20. Admin Portal - Check details","","","","2. Account ID 445 detail page",""
"passed","Fri Jun 23 04:16:25 UTC 2023","Fri Jun 23 04:16:27 UTC 2023","2141","","10. Client Portal - Account Dashboard","","","","5. Expand Strategic",""
"passed","Fri Jun 23 05:22:21 UTC 2023","Fri Jun 23 05:22:22 UTC 2023","696","","20. Admin Portal - Check details","","","","7. Check Current Settings",""
"passed","Fri Jun 23 04:11:46 UTC 2023","Fri Jun 23 04:11:51 UTC 2023","4636","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Fri Jun 23 04:10:49 UTC 2023","Fri Jun 23 04:11:10 UTC 2023","21283","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Fri Jun 23 04:34:52 UTC 2023","Fri Jun 23 04:35:41 UTC 2023","48716","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","14. Complete Final Review",""
"passed","Fri Jun 23 04:34:45 UTC 2023","Fri Jun 23 04:34:52 UTC 2023","6639","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","13. Complete Bank Details",""
"passed","Fri Jun 23 05:35:45 UTC 2023","Fri Jun 23 05:35:48 UTC 2023","2994","","11. Client Portal - Administration","","","","2. Check Administration Page",""
"passed","Fri Jun 23 05:16:08 UTC 2023","Fri Jun 23 05:16:24 UTC 2023","16038","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Fri Jun 23 04:15:47 UTC 2023","Fri Jun 23 04:15:58 UTC 2023","11200","","10. Client Portal - Account Dashboard","","","","3. Direct user to Account Dashboard",""
"passed","Fri Jun 23 04:39:49 UTC 2023","Fri Jun 23 04:40:02 UTC 2023","12461","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","6. Complete Super Fund Entry",""
"passed","Fri Jun 23 05:15:42 UTC 2023","Fri Jun 23 05:16:08 UTC 2023","25231","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","7. Complete In SMSF Details",""
"passed","Fri Jun 23 04:32:17 UTC 2023","Fri Jun 23 04:32:35 UTC 2023","18618","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","8. Review Review Page",""
"passed","Fri Jun 23 04:16:28 UTC 2023","Fri Jun 23 04:16:40 UTC 2023","11305","","10. Client Portal - Account Dashboard","","","","7. Expand Portfolio",""
"passed","Fri Jun 23 05:16:24 UTC 2023","Fri Jun 23 05:16:25 UTC 2023","1001","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Fri Jun 23 05:15:06 UTC 2023","Fri Jun 23 05:15:12 UTC 2023","5382","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","9. Complete Bank Details",""
"passed","Fri Jun 23 04:12:30 UTC 2023","Fri Jun 23 04:12:31 UTC 2023","435","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Fri Jun 23 05:22:06 UTC 2023","Fri Jun 23 05:22:12 UTC 2023","5964","","12. Client Portal - Forms","","","","3. Expand Superannuation Forms",""
